search URL:,https://patents.google.com/?assignee=Amazon+Technologies%252c+Inc.&before=priority:20200101&after=priority:20120101&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-3180786-B1,Voice application architecture ,Amazon Technologies Inc.,"Vikas Jain, Rohan Mutagi, Peter Paul Henri CARBON",2014-08-11,2015-07-20,2018-05-02,2018-05-02,https://patents.google.com/patent/EP3180786B1/en,https://patentimages.storage.googleapis.com/c4/99/65/19db5dce36f0e1/imgf0001.png
US-10095663-B2,Delivery and display of page previews during page retrieval events ,"Amazon Technologies, Inc.","Rohit Krishna Kumar, Scott Zachary Bressler, Ivan King Yu Sham, Ian William Stewart, Brett Richard Taylor, Peter Frank Hill, Aakarsh Nair, Steven Michael Reddie, Patrick Joseph Armstrong, Samuel John Young, Ameet Nirmal Vaswani, Andrew Lynch Hayden",2012-11-14,2013-03-15,2018-10-09,2018-10-09,https://patents.google.com/patent/US10095663B2/en,https://patentimages.storage.googleapis.com/e4/25/58/b56f9baed28869/US10095663-20181009-D00000.png
US-10262293-B1,Item management system using multiple scales ,"Amazon Technologies, Inc","Alexander Clark Prater, Ivan Avramov, Ismael Medrano, Benjamin Lloyd Shapiro, Navid Shiee, Brett Allen Skaloud",2015-06-23,2015-06-23,2019-04-16,2019-04-16,https://patents.google.com/patent/US10262293B1/en,https://patentimages.storage.googleapis.com/1f/18/a9/1a096cce1a0a29/US10262293-20190416-D00000.png
EP-3146523-B1,Context interpretation in natural language processing using previous dialog acts ,Amazon Technologies Inc.,"Giuseppe Di Fabbrizio, Shishir Sridhar BHARATHI, Ying Shi, Lambert Mathias",2014-05-20,2015-05-20,2019-10-30,2019-10-30,https://patents.google.com/patent/EP3146523B1/en,https://patentimages.storage.googleapis.com/61/1a/97/74d7ec251895b9/imgf0001.png
EP-3126999-B1,Session management in distributed storage systems ,Amazon Technologies Inc.,Pradeep Vincent,2014-03-31,2015-03-31,2019-05-08,2019-05-08,https://patents.google.com/patent/EP3126999B1/en,https://patentimages.storage.googleapis.com/5f/c7/36/8b7f6342752d42/imgf0001.png
EP-3127000-B1,Scalable file storage service ,Amazon Technologies Inc.,"Pradeep Vincent, Wayne William DUSO, Matti Juhani Oikarinen, Matteo Frigo, Iii James Christopher Sorenson",2014-03-31,2015-03-31,2019-07-17,2019-07-17,https://patents.google.com/patent/EP3127000B1/en,https://patentimages.storage.googleapis.com/c6/cc/f1/95b7cf195334c1/imgf0001.png
EP-3123705-B1,Electronic communication with secure screen sharing of sensitive information ,Amazon Technologies Inc.,"Pirasenna Thiyagarajan, Donald Loyd KAUFMAN",2014-03-26,2015-03-24,2020-05-06,2020-05-06,https://patents.google.com/patent/EP3123705B1/en,https://patentimages.storage.googleapis.com/d1/22/da/72e2c6a02a9fd1/imgf0001.png
EP-3265382-B1,Unmanned aerial vehicle with a tri-wing configuration ,Amazon Technologies Inc.,"Ricky Dean WELSH, Louis Leroi LEGRAND, III.",2015-03-03,2016-03-01,2019-10-16,2019-10-16,https://patents.google.com/patent/EP3265382B1/en,https://patentimages.storage.googleapis.com/aa/70/0d/c9e2b311765b48/imgf0001.png
EP-3161574-B1,Object avoidance for automated aerial vehicles ,Amazon Technologies Inc.,"Amir Navot, Gur Kimchi, Brian C. Beckman, Frederik Schaffalitzky, Daniel Buchmueller, Robert John ANDERSON",2014-06-25,2015-06-23,2021-03-17,2021-03-17,https://patents.google.com/patent/EP3161574B1/en,https://patentimages.storage.googleapis.com/46/0e/6f/047c4b3dd0d3a6/imgf0001.png
EP-3114813-B1,Authentication of virtual machine images using digital certificates ,Amazon Technologies Inc.,"Alexander Edward Schoof, Andrew Jeffrey DOANE, Robert Eric Fitzgerald, Todd Lawrence CIGNETTI",2014-03-04,2015-03-03,2019-10-09,2019-10-09,https://patents.google.com/patent/EP3114813B1/en,https://patentimages.storage.googleapis.com/de/86/7a/ae1095c0f8d122/imgf0001.png
EP-3084544-B1,Deployment of mobile automated vehicles ,Amazon Technologies Inc.,"William Spencer Worley Iii, Eric Mathew Clayton",2013-12-17,2014-12-16,2021-03-17,2021-03-17,https://patents.google.com/patent/EP3084544B1/en,https://patentimages.storage.googleapis.com/3e/08/f5/8d5ad017700de1/imgf0001.png
EP-3077921-B1,Natural language control of secondary device ,Amazon Technologies Inc.,Rohan Mutagi,2013-12-02,2014-11-25,2018-04-25,2018-04-25,https://patents.google.com/patent/EP3077921B1/en,https://patentimages.storage.googleapis.com/8d/59/16/89bbfc028ebd61/imgf0001.png
EP-3069307-B1,Document management and collaboration system ,Amazon Technologies Inc.,"Himanshu Khurana, Noah Anthony EISNER, Kevin Gillett, Arun Ponniah SETHURAMALINGAM, Nagesh Pradhan CADABAM, Liangliang Wang, Sharad Kala, Stephen Joseph OAKLEY, Nandhini Nandiwada SANTHANAM",2013-11-11,2014-11-10,2020-01-08,2020-01-08,https://patents.google.com/patent/EP3069307B1/en,https://patentimages.storage.googleapis.com/b7/c4/99/4bc1ab3252a580/imgf0001.png
US-9525672-B2,Multi-faceted compute instance identity ,"Amazon Technologies, Inc.","Todd Lawrence Cignetti, Peter Zachary Bowen, Andrew Jeffrey Doane, Alexander Edward Schoof",2014-12-19,2014-12-19,2016-12-20,2016-12-20,https://patents.google.com/patent/US9525672B2/en,https://patentimages.storage.googleapis.com/e4/1c/dc/e86ad61bdc01bd/US09525672-20161220-D00000.png
US-9260244-B1,Wireless visualization interface for autonomous ground vehicle signal coverage ,"Amazon Technologies, Inc.",Jonathan Cohn,2014-09-25,2014-09-25,2016-02-16,2016-02-16,https://patents.google.com/patent/US9260244B1/en,https://patentimages.storage.googleapis.com/2d/e9/66/a709ee84aec584/US09260244-20160216-D00000.png
EP-3050052-B1,Speech recognizer with multi-directional decoding ,Amazon Technologies Inc.,"Michael Maximilian Emanuel BISANI, Nikko Strom, Bjorn HOFFMEISTER, Ryan Paul THOMAS",2013-09-27,2014-09-17,2018-11-07,2018-11-07,https://patents.google.com/patent/EP3050052B1/en,https://patentimages.storage.googleapis.com/80/ff/40/703e55a1f8d6aa/imgf0001.png
EP-3014607-B1,Detecting self-generated wake expressions ,Amazon Technologies Inc.,"Michael Alan POGUE, Philip Ryan HILMES",2013-06-27,2014-06-26,2019-05-15,2019-05-15,https://patents.google.com/patent/EP3014607B1/en,https://patentimages.storage.googleapis.com/8b/25/12/d7a303013f3b95/imgf0001.png
EP-3123231-B1,Electrowetting display pixel architecture ,Amazon Technologies Inc.,Pavel Novoselov,2014-03-25,2015-03-23,2020-10-14,2020-10-14,https://patents.google.com/patent/EP3123231B1/en,https://patentimages.storage.googleapis.com/7c/4f/bb/8516f243772684/imgf0001.png
EP-3161570-B1,Ground effect based surface sensing in automated aerial vehicles ,Amazon Technologies Inc.,"Amir Navot, Brian C. Beckman, Daniel Buchmueller, Gur Kimchi, Fabian HENSEL, Scott A. Green, Brandon William Porter, Severan Sylvain Jean-Michel Rault",2014-06-26,2015-06-23,2018-12-12,2018-12-12,https://patents.google.com/patent/EP3161570B1/en,https://patentimages.storage.googleapis.com/f6/35/ff/b50b4f537c12f8/imgf0001.png
US-9813379-B1,Virtual private gateways using compute instances ,"Amazon Technologies, Inc.","Upendra Bhalchandra Shevade, Gregory Rustin Rogers, Kevin Christopher Miller, Bashuman Deb, Michael Brooke Furr",2014-05-09,2014-05-09,2017-11-07,2017-11-07,https://patents.google.com/patent/US9813379B1/en,https://patentimages.storage.googleapis.com/63/2f/c3/5963bbd603dace/US09813379-20171107-D00000.png
US-9542704-B2,Automatic image-based recommendations using a color palette ,Amazon Technologies Inc.,"Charles Shearer Dorner, Paul Barnhart Sayre, III",2014-06-26,2014-06-26,2017-01-10,2017-01-10,https://patents.google.com/patent/US9542704B2/en,https://patentimages.storage.googleapis.com/51/29/57/5e2c14dbcb2380/US09542704-20170110-D00000.png
US-9639546-B1,Object-backed block-based distributed storage ,"Amazon Technologies, Inc.","Christopher Albert Gorski, Nicholas Scott Branker",2014-05-23,2014-05-23,2017-05-02,2017-05-02,https://patents.google.com/patent/US9639546B1/en,https://patentimages.storage.googleapis.com/db/b3/f3/b0ba59821909ab/US09639546-20170502-D00000.png
US-9935829-B1,Scalable packet processing service ,"Amazon Technologies, Inc.","Kevin Christopher Miller, Bashuman Deb",2014-09-24,2014-09-24,2018-04-03,2018-04-03,https://patents.google.com/patent/US9935829B1/en,https://patentimages.storage.googleapis.com/a8/3f/6e/4b1850fecb95ad/US09935829-20180403-D00000.png
US-10205698-B1,Source-dependent address resolution ,"Amazon Technologies, Inc.","Kirk Arlo Petersen, Ajith Jayamohan, Preetha Chatterjee",2012-12-19,2013-11-26,2019-02-12,2019-02-12,https://patents.google.com/patent/US10205698B1/en,https://patentimages.storage.googleapis.com/f3/cf/55/6cf13f7ecb40a4/US10205698-20190212-D00000.png
US-9483113-B1,Providing user input to a computing device with an eye closure ,"Amazon Technologies, Inc.","Timothy Lee Fowers, William Allan Dugan, Ion Mateo Hardie, Isaac Jeremy Shepard, Brian David Fisher, Robert Gustave Schiewe",2013-03-08,2015-05-18,2016-11-01,2016-11-01,https://patents.google.com/patent/US9483113B1/en,https://patentimages.storage.googleapis.com/d6/1d/0e/ff02b4199a4c6d/US09483113-20161101-D00000.png
EP-2972838-B1,Application marketplace for virtual desktops ,Amazon Technologies Inc.,"Deepak Suryanarayanan, Eugene Michael FARRELL, David Everard BROWN, Stephen William LUSZCZ, Ajit Nagendra PADUKONE",2013-03-11,2014-03-04,2020-05-20,2020-05-20,https://patents.google.com/patent/EP2972838B1/en,https://patentimages.storage.googleapis.com/19/62/a4/8db69ad32847f0/imgf0001.png
EP-2888673-B1,Predictive caching for content ,Amazon Technologies Inc.,"II James Marvin FREEMAN, Aaron M. BROMBERG, Bryant F. HERRON-PATMON, Nush KARMACHARYA, Joshua B. BARNARD, Peter Wei-Chih CHEN, Stephen A. SLOTNICK, Abhishek Dubey, Anddrew J. WATTS, Richard J. WINOGRAD",2012-08-23,2013-08-21,2019-10-16,2019-10-16,https://patents.google.com/patent/EP2888673B1/en,https://patentimages.storage.googleapis.com/07/3e/d8/10d99b70c677ed/imgf0001.png
EP-3391436-B1,Passive thermal management system for battery ,Amazon Technologies Inc.,Liam Stewart Cavanaugh PINGREE,2015-12-18,2016-12-13,2020-07-29,2020-07-29,https://patents.google.com/patent/EP3391436B1/en,https://patentimages.storage.googleapis.com/f1/55/23/9e99f8224f20c0/imgf0001.png
EP-2891032-B1,Enhancing video content with extrinsic data ,"Amazon Technologies Inc., IMDb.com, Inc.","Jordan M. TIMMERMAN, Brent D. ALIVERTI, Kintan D. Brahmbhatt, Adam Carlson, Jim L. DANTZLER, Douglas M. TREDER, Brian M. WILSON, Kelvin C. YOUNG, Michael John WYMAN",2012-08-31,2013-08-30,2018-10-31,2018-10-31,https://patents.google.com/patent/EP2891032B1/en,https://patentimages.storage.googleapis.com/c7/2e/81/a51ab317f1a5c6/imgf0001.png
EP-2932371-B1,Response endpoint selection ,Amazon Technologies Inc.,Scott Ian BALNKSTEEN,2012-12-14,2013-11-22,2018-06-13,2018-06-13,https://patents.google.com/patent/EP2932371B1/en,https://patentimages.storage.googleapis.com/81/5c/8e/8742ace60ff7d0/imgf0001.png
US-9459731-B2,Managing sensory information of a user device ,"Amazon Technologies, Inc.",James Edward Ricks,2013-03-13,2015-08-03,2016-10-04,2016-10-04,https://patents.google.com/patent/US9459731B2/en,https://patentimages.storage.googleapis.com/97/be/9a/e32cdeadfa2a46/US09459731-20161004-D00000.png
EP-3213262-B1,Multi-scale fiducials ,Amazon Technologies Inc.,"Carl Ryan KELSO, Yves Christian Albers SCHOENBERG, James Yang",2014-10-29,2015-10-27,2020-05-06,2020-05-06,https://patents.google.com/patent/EP3213262B1/en,https://patentimages.storage.googleapis.com/1a/c5/9f/bdcb4429843a8b/imgf0001.png
US-9154534-B1,Multiple media device infrastructure ,"Amazon Technologies, Inc.","Edward James Gayles, Varadarajan Gopalakrishnan, Shih-Chun Chang",2013-01-02,2013-01-02,2015-10-06,2015-10-06,https://patents.google.com/patent/US9154534B1/en,https://patentimages.storage.googleapis.com/f9/ee/4c/5dabb367fb6278/US09154534-20151006-D00000.png
EP-3204862-B1,Emulated endpoint configuration ,Amazon Technologies Inc.,"Nafea Bshara, Adi Habusha, Guy Nakibly, Zorik Machulsky",2014-10-05,2015-10-01,2019-09-18,2019-09-18,https://patents.google.com/patent/EP3204862B1/en,https://patentimages.storage.googleapis.com/65/f9/be/dc7890241c3711/imgf0001.png
US-9984140-B1,Lease based leader election system ,"Amazon Technologies, Inc.","Anish Sukumaran, Vincent Gerard Nicotra",2015-02-05,2015-02-05,2018-05-29,2018-05-29,https://patents.google.com/patent/US9984140B1/en,https://patentimages.storage.googleapis.com/ff/4f/81/a588827a8a501c/US09984140-20180529-D00000.png
EP-3014348-B1,Reducing discoloration of a display stack ,Amazon Technologies Inc.,"Anoop Menon, Robert Waverly ZEHNER, John-Paul Clement PERRON",2013-06-28,2014-06-27,2018-11-21,2018-11-21,https://patents.google.com/patent/EP3014348B1/en,https://patentimages.storage.googleapis.com/3c/ba/4b/06b07c9a1f846a/imgf0001.png
US-9563955-B1,Object tracking techniques ,"Amazon Technologies, Inc.","Vijay Kamarshi, Prasanna Venkatesh Krishnasamy, Amit Tikare",2013-05-15,2013-05-15,2017-02-07,2017-02-07,https://patents.google.com/patent/US9563955B1/en,https://patentimages.storage.googleapis.com/42/53/90/3d1215e3c9d7e8/US09563955-20170207-D00000.png
EP-3202117-B1,Using credentials stored in different directories to access a common endpoint ,Amazon Technologies Inc.,"Gaurang Pankaj MEHTA, Neelam Satish Agrawal, Lawrence Hun-Gi Aung, Chirag Pravin Pandya",2014-10-03,2015-09-29,2019-04-24,2019-04-24,https://patents.google.com/patent/EP3202117B1/en,https://patentimages.storage.googleapis.com/23/02/22/efea77afe96f10/imgf0001.png
EP-3069463-B1,Single set of credentials for accessing multiple computing resource services ,Amazon Technologies Inc.,"Thomas Christopher RIZZO, Shon Kiran Shah, Gaurang Pankaj MEHTA, Venakta N. S. S. Harsha KOONAPARAJU, Guruprakash Bangalore Rao",2013-11-11,2014-11-11,2019-01-09,2019-01-09,https://patents.google.com/patent/EP3069463B1/en,https://patentimages.storage.googleapis.com/1f/0e/8d/619f303ef58731/imgf0001.png
US-9712386-B1,Grouping routing resources for isolated virtual network traffic management ,"Amazon Technologies, Inc.","Po-Chun Chen, Russell Richard Leighton, Wesley Douglas Doonan, Kevin Christopher Miller",2015-02-18,2015-02-18,2017-07-18,2017-07-18,https://patents.google.com/patent/US9712386B1/en,https://patentimages.storage.googleapis.com/4b/c9/d0/34350a983aa7d6/US09712386-20170718-D00000.png
EP-3676828-A1,Context-based device arbitration ,Amazon Technologies Inc.,"Joseph White, Lalithkumar Rajendran, Ravi Kiran Rachakonda, Venkata Snehith Cherukuri, Deepak Uttam Shah, Maziyar Khorasani, Vinodth Kumar Mohanam",2017-08-30,2018-08-20,2020-07-08,,https://patents.google.com/patent/EP3676828A1/en,
EP-3643051-A1,Dns resolution using link-level capacity of destination systems ,Amazon Technologies Inc.,"Kevin Bliss, Harvo Reyzell Jones, Fan Mo, Anton Stephen Radlein, Hardeep Singh Uppal, Jorge Vasquez, Axel David Velazquez",2017-06-19,2018-06-08,2020-04-29,,https://patents.google.com/patent/EP3643051A1/en,
US-9483189-B2,Systems and methods for scheduling write requests for a solid state storage device ,Amazon Technologies Inc.,Marc John Brooker,2013-04-30,2015-05-11,2016-11-01,2016-11-01,https://patents.google.com/patent/US9483189B2/en,https://patentimages.storage.googleapis.com/cc/7a/d1/9e9a8551ee1beb/US09483189-20161101-D00000.png
EP-3127017-B1,Atomic writes for multiple-extent operations ,Amazon Technologies Inc.,"Jacob A. Strauss, Matteo Frigo, Alex Haugland, Matti Juhani Oikarinen, Pradeep Vincent, Joshua Samuel Hendrickson",2014-03-31,2015-03-31,2021-02-17,2021-02-17,https://patents.google.com/patent/EP3127017B1/en,https://patentimages.storage.googleapis.com/f1/76/32/4371acc7f51daf/imgf0001.png
US-2019080698-A1,Administration of privileges by speech for voice assistant system ,"Amazont Technologies, Inc.",Gregory Thomas Miller,2017-09-08,2017-09-08,2019-03-14,,https://patents.google.com/patent/US20190080698A1/en,https://patentimages.storage.googleapis.com/96/8e/a8/b2d8a86f49fe37/US20190080698A1-20190314-D00000.png
US-10467526-B1,Artificial intelligence system for image similarity analysis using optimized image pair selection and multi-scale convolutional neural networks ,"Amaon Technologies, Inc.","Srikar Appalaraju, Vineet Shashikant Chaoji",2018-01-17,2018-01-17,2019-11-05,2019-11-05,https://patents.google.com/patent/US10467526B1/en,https://patentimages.storage.googleapis.com/de/42/a2/5df536ecb31967/US10467526-20191105-D00000.png
US-10192553-B1,Initiating device speech activity monitoring for communication sessions ,"Amazon Technologes, Inc.","Mario Chenier, Tony Roy Hardie, Nawdesh Uppal, Brian Oliver, Ran MOKADY",2016-12-20,2016-12-20,2019-01-29,2019-01-29,https://patents.google.com/patent/US10192553B1/en,https://patentimages.storage.googleapis.com/ed/6d/d9/971fd7398bb2e8/US10192553-20190129-D00000.png
US-10489807-B1,Non-deterministic load-testing ,"Amazon Technologles, Inc.",Carlos Alejandro Arguelles,2013-11-11,2013-12-18,2019-11-26,2019-11-26,https://patents.google.com/patent/US10489807B1/en,https://patentimages.storage.googleapis.com/2f/19/23/2328df4ded24d5/US10489807-20191126-D00000.png
US-10015042-B2,System and method for data replication using a single master failover protocol ,"Amazon Technologoes, Inc.","Timothy Andrew Rath, Jakub Kulesza, David Alan Lutz",2012-01-17,2016-06-10,2018-07-03,2018-07-03,https://patents.google.com/patent/US10015042B2/en,https://patentimages.storage.googleapis.com/83/35/fb/b45fa04507d2ab/US10015042-20180703-D00000.png
US-10056078-B1,Output of content based on speech-based searching and browsing requests ,"Amazon Technology, Inc.","Benjamin Lee Shepherd, Joe Virgil Fernandez, Vijayabaskar Gangadaran, Mallory Ann McManamon, Peter Van Tuyl Bentley, Shailesh Srivastava",2016-06-28,2016-06-28,2018-08-21,2018-08-21,https://patents.google.com/patent/US10056078B1/en,https://patentimages.storage.googleapis.com/48/d2/5e/ecf648e7453c57/US10056078-20180821-D00000.png
US-9676477-B1,Adjustable unmanned aerial vehicles ,"Amazon Techonlogies, Inc.","Gur Kimchi, Daniel Buchmueller, Brian C. Beckman, Amir Navot",2014-08-25,2014-08-25,2017-06-13,2017-06-13,https://patents.google.com/patent/US9676477B1/en,https://patentimages.storage.googleapis.com/8e/38/86/416490d84b7c4a/US09676477-20170613-D00000.png
US-10685037-B2,Volume cohorts in object-redundant storage systems ,"Amazon Technology, Inc.","Paul David Franklin, Bryan James Donlan",2013-12-18,2013-12-18,2020-06-16,2020-06-16,https://patents.google.com/patent/US10685037B2/en,https://patentimages.storage.googleapis.com/00/31/41/90bb53710f4824/US10685037-20200616-D00000.png
US-9147054-B1,Dialogue-driven user security levels ,"Amazon Technolgies, Inc.","Jeff Bradley Beal, Robert David Owen, John Daniel Thimsen, Sumedha Arvind Kshirsagar",2012-12-19,2012-12-19,2015-09-29,2015-09-29,https://patents.google.com/patent/US9147054B1/en,https://patentimages.storage.googleapis.com/2f/5f/b5/a97c0ea4b60886/US09147054-20150929-D00000.png
US-9985904-B2,"Reliable, out-of-order transmission of packets ","Amazon Technolgies, Inc.","Leah Shalev, Brian William Barrett, Nafea BShara, Georgy Machulsky",2015-12-29,2015-12-29,2018-05-29,2018-05-29,https://patents.google.com/patent/US9985904B2/en,https://patentimages.storage.googleapis.com/ff/b3/87/2bbf5e602840e6/US09985904-20180529-D00000.png
US-10004165-B1,Self-filling humidity control device for equipment racks ,"Amazon Technnologies, Inc.","Kevin Bailey, Felipe Enrique Ortega Gutierrez, Mary Crys Calansingin, Darin Lee Frink, Peter George Ross",2017-03-10,2017-03-10,2018-06-19,2018-06-19,https://patents.google.com/patent/US10004165B1/en,https://patentimages.storage.googleapis.com/b4/1c/53/cbd3d7eb0c2fbe/US10004165-20180619-D00000.png
US-10011434-B1,Mobile configurable conveyor component ,"Amazon Technoloigies, Inc.",Mark Anthony Messina,2014-12-16,2017-03-20,2018-07-03,2018-07-03,https://patents.google.com/patent/US10011434B1/en,https://patentimages.storage.googleapis.com/5f/38/de/2d48dd6085af74/US10011434-20180703-D00000.png
US-9495249-B1,Precomputed redundancy code matrices for high-availability data storage ,"Amazon Technolgies, Inc.","Paul David Franklin, Bryan James Donlan, Colin Laird Lazier, Claire Elizabeth Suver",2015-03-31,2015-03-31,2016-11-15,2016-11-15,https://patents.google.com/patent/US9495249B1/en,https://patentimages.storage.googleapis.com/e8/64/10/82ec637f979786/US09495249-20161115-D00000.png
US-10225527-B2,Wireless entrance communication device ,"Amazon Technologies, Inc.","James Siminoff, Mark Siminoff",2013-07-18,2017-01-12,2019-03-05,2019-03-05,https://patents.google.com/patent/US10225527B2/en,https://patentimages.storage.googleapis.com/b3/82/a1/8f35f40da85cfc/US10225527-20190305-D00000.png
US-10142597-B2,Wireless entrance communication device ,"Amazon Technologies, Inc.","James Siminoff, John Modestine, Changsoo Jeong",2013-07-18,2017-12-12,2018-11-27,2018-11-27,https://patents.google.com/patent/US10142597B2/en,https://patentimages.storage.googleapis.com/c2/21/74/e4b479d918ba66/US10142597-20181127-D00000.png
